Text,Sentiment
,
plz in if I order from Zomato and the resturant send me any shit which is not as per the order than what s the policy of Zomato Will I get a replacement or a refund or some charity in form of Zomato credits,negative
,
Uber amp ola cabs started uber eats amp ola eats food online delivery taking on zomato amp swiggy uber eats food was best,positive
,
in ORDER 23647309363 Rs773 On 26th Oct 18 swiggy executive has cancelled the order intentionally Its now 2 weeks till now there in NO refund Swiggy chat support team says there is issues with their gateway paytm They are NOT refunding the amount WorstSupport,neutral
,
RT So now you order on and get a in branded packaging That is SOME promotion going on zomato swiggy pig,neutral
,
in I ve seen it so many times now that i don t even find it amusing,positive
,
Murali Customer service is not by the books It s empathy and understanding what customer is going through Swiggy refunds the money no questions asked for good customers If I complain about 1 in 30 orders I might not be an ass and so,positive
,
in I wanted to chat with a SUPERVISOR but they do not really bother to even acknowledge Here are the continuous nonsense replies,negative
,
in Adithya,neutral
,
in This is how Zomato support team assist their long term users,negative
,
in This is a great product placement So thoughtful by your Marcom team Well done and Keep it up BiggBoss12,positive
,
in Apparently their only motive is top line revenue figures or may i say order placed without caring for the bottom line more importantly the customer experience,positive
,
pathetic customer service Ordered food and there was quality issue so gave feedback also logged complaint two times but nothing happened No representative bother to reply at least in better in this area,negative
,
BiggBoss12 Khana hai khane ki tarah Khao swiggy swiggy Kar k marking kyun Kar rahe WorstSeason Scripted hai sab pehle cp plus vivo n now swiggy,neutral
,
Yes Because it s in So yummy and tasty,neutral
,
in Please make a SreesantCity task in Bigg boss 12 like GautamCity task in Bigg Boss 8 Thank you,neutral
,
in Please make a SreesantCity task in Bigg boss 12 like GautamCity task in Bigg Boss 8 we want fun,positive
,
in why is your service so slow today Is that how you treat a Super member,positive
,
Gharwalon ke liye store room mein aayi hai ek delicious delivery from SWIGGY Isn t that amazing BB12 BiggBoss12 in,positive
,
BB12 BiggBoss12 in Do you deliver in Lonavala We never got parcel in such fancy Bags I need a swiggy Bag,neutral
,
Well since Swiggy disappointed i decided to step out for dinner Call me tomorrow post 12 pm,negative
,
in and together BB12,neutral
,
I don t think Swiggy actually cares food that arrived was stale and stinking Secondly chat support was absolutely of no help When I called up customer care they just connect me to the restaurant and invade my privacy by giving the hotel my number,negative
,
So now you order on and get a in branded packaging That is SOME promotion going on zomato swiggy piggybacking order delivery chaayos,neutral
,
I received a cash back from swiggy even I got message from Amazon for the same However I cannot see the amount in my statement,neutral
,
in can you please confirm the cancellation of order So that i can order and eat from some interested vendor,positive
,
in becoming worse day by day,positive
,
in My basic funda is that I don t eat anything which can be ordered over Swiggy,neutral
,
gurram in We are thrilled to hear this It s always our endeavour to provide our patrons with the best experience always Keep Swiggying Revathi,positive
,
Thank you in india,neutral
,
Order No 24853795624 Money deducted but payment failed in When will the refund initiate,negative
,
Issue resolved Thanks for the action in,positive
,
nikumb in When the chai near Office is terrible And it s Diwali and you want something nice,negative
,
The delivery executive assigned now is in the exact opposite direction And it s been more than 70mins now in,positive
,
Also this is not the first time this has happened to me Why isn t Swiggy learning from their mistakes And why is it continuesly happening to me Can t understand your system,positive
,
Support Hi I just found different rates in Ubereats and swiggy for the same restaurant UBer eats is expenaive How is it possible Do the needful,neutral
,
RT The biggest revenue generator for Chennai city traffic police these days are Uber Ola Swiggy delivery boys,neutral
,
My first experience with in is good My love like the food Thanks for the fast delivery Thumbs up,positive
,
in on app i have ordered chicken biryani but i have received soya chap rumali roti also i have lost the offer of 100 cashback on paying through Amazon pay What will i do no,negative
,
Had to happen Law of averages caught up I guess I seldom have had a bad experience with Swiggy But today it was pathetic The delivery was delayed by nearly an hour and I have a suspicion that the food was picked from some other restaurant amp not the one I ordered from,negative
,
in No solution for my un delivered food even after 3 calls to the customer support team It s been more than 55 mins now Guys please change the Twitter handle to Swiggydoesn tcare And This is not the first time I ever been troubled by swiggy,positive
,
Sorry Swiggy I have Uninstalled you Goodbye had enough of ur goifup Every week u do the same thing why shd I pay if M not getting what u asked for,negative
,
Swiggy se mango Choco chip ice cream kaun mangwata hai,neutral
,
in india Thanks for trying it out Ruchir,positive
,
Register on Swiggy with 8KRABL and earn Rs 100 Download on,neutral
,
in still no response,neutral
,
in india I wasn t expecting such a big surprise being a SwiggySuper member You are awesome Thanks a bunch DineoutGourmet,positive
,
The biggest revenue generator for Chennai city traffic police these days are Uber Ola Swiggy delivery boys,neutral
,
in hey guys Since when you have started including CHICKEN MOMOS as vegetarian food,negative
,
Kindly have an option for scheduled order or a reminder for a regular order I used to place an order on every Friday and I forgot today due to other works in,positive
,
RT Watch the finale episode of Breaking Point High Altitude Warfare School tonight at 10 PM Co Presenting Sponsor,positive
,
Just bought a Swiggy Super subscription Let s see how it goes,positive
,
First five order 50 off up to 100 I got this offer for only one time Denied for second order in,positive
,
Is this for all Swiggy super users I didn t get any such email,positive
,
I have recived a food after one hour of ordering And tge food was very oily and the food is too cold and i have raised a complaint and your executives have told that please maid the issue and im attaching a screen shot of the order details in,negative
,
in order ID 3736 ditched once again by you guys order is not complete why should I pay for it I Cleary mentioned that I would deny if I do not get the complete order this is not happening for first ime it has happened in past from same restaurant,positive
,
SubbayyaGariHotel Kukatpally is available now in Swiggy Link RT and let your friends know,positive
,
RT in kdp Tweetz SSMB Evaduuu Evaduuu Che,neutral
,
That s really bad service from swiggy and this is not the 1st time,negative
,
Hey there sorry for the disappointment Kindly DM us your registered details with Swiggy so that we can check on this and assist accordingly Lakshmi,negative
,
Customer care is also very rude in email I need cashback for both recharge 100 and swiggy 200 offer,negative
,
Lately Amazon is duping customers firstly they will give u offer n after u order cashback will never b credited dis hpnd 2nd time in row i hv unlocked swiggy ofr 100 cashback upto 200 bt i haven t rcvd again previously hpnd wid recharge,negative
,
in what kind of service you guys are providing I haven t got my order and your executives are saying it has been delivered,positive
,
in does it again Delivery guy calls and makes me to talk to someone from the restaurant saying tgat the irder cannot be processed and i should cancel it On chat i am told the order has been picked up The delivery guy is probably having all the fun now,positive
,
in Please collect your food in my dust bin As the quality is so poor that if I would have take I need to go to Hospital,negative
,
i have experienced very bad service by ordering from swiggy worst quality food delivered even i have talked to executive they have said sorry and we cant do any thing else i think we should use zomato so that they care for their customers,negative
,
I have done shopping on and received mail for free coupon from in mobilerecharge see attachment as screenshot Now how to avail those offer so i need any coupon to use them kindly help,positive
,
If you ever want to experience the most pathetic service use Swiggy in,negative
,
Luxury rides adrenaline rushes and a treat to balance it all Episode 4 of The Calling is live Tune in to TLC to watch it now on india in,positive
,
hi Harsha your swiggy service in pondicherry just sucks your app never works beware you r just gonna loose a progressive market,negative
,
in folks your service in pondicherry just sucks you app never works,negative
,
Not bad ya Thanks in,positive
,
in don t know how to handle it s customer better avoid this stupid application,negative
,
Try out the best Mutton Handi in the town Kalikahut Lucknow dinner food Order it online on Zomato or swiggy,positive
,
Food quality and time ante swiggy and zomato ne,neutral
,
your services are very bad you openly cheat and defraud people from now on we will never order from swiggy again and we will delete swiggy app 9899941308 ordered plain chai bt gt masala tea,negative
,
It s zomato s answer to Swiggy Access I guess,neutral
,
in how can you make us wait one hour and then cancel items of an order no one called or informed Plus your delivery guy left without informing us of the missing items After one hour only option provided is to wait another hour or refund,negative
,
Thank You in,neutral
,
in It s a conspiracy against all vegetarians bro similar things been happening with sharma on lately,negative
,
and this is what in and serves you,neutral
,
in for your excellent service I have registered a complaint against you at national consumer forum with complaint id 1000759 Have mailed you at your support id Will be happy to meet you there,positive
,
in We want to update our Virtual account number for that we are requesting to Swiggy but no one is listening to yo us We are very disappointed It s been around 1 month we have mail to partner support,negative
,
in Arrey who orders chai Sowmya,neutral
,
Register on swiggy with G1X4MV and earn Rs 100 Download on,neutral
,
in I was a zomato user and I liked your user interface so I thought I should switch I used swiggy two times and guess what I m the victim both the times You guys deliver order really really late Switching back again to I m sorry,negative
,
missus wants something on swiggy and she made me get it and as you can see it is going so smoothly hahahaha,positive
,
IND it s been more than 24 hours I raised a complaint via the app and still not looked into This is bad You don t even have a number to call like Swiggy and Zomato have,negative
,
swiggy customer support reached me they told that they will deal with the issue Should I still send message to the above mail address,neutral
,
Swiggy lol chicken biryani order chesthe 15 20 mins lo teesukovochu devudu adhe Foodpanda vadu aythe 1 hr ayna raadu daridrudu,positive
,
1 5 Review on in by mrmanishparmar On boarding issue with Swiggy,neutral
,
Starting with rickshaws this Indian Startup Is Driving Electric Vehicle Adoption In India,neutral
,
Thank you in india,neutral
,
Bad first experience experimented outside swiggy first time on food panda and bad rude experience bery unprofessional,negative
,
just fake ads are there U guys provide weird service Zomato swiggy 10time better than u At least they don t makes customer wait for 30min then delivery declined,negative
,
RT Check your order next time or order from an only vegetarian place Don t even know how to react to this in,neutral
,
in you just forget that food is very personal experience you are providing All you are doing is mass responses and mass refunds replacement and mass delivering atleast have time to relate both of my tweets and then respond Anyway no more expectations from you,negative
,
Watch the finale episode of Breaking Point High Altitude Warfare School tonight at 10 PM Co Presenting Sponsor amp PUBGMobile Co Powered By LIC amp in Associate Sponsors IN amp HongKongTourism,positive
,
in india Welcome Have a great weekend Adithya,positive
,
in We re truly sorry you feel that way Raja We re going to ensure your feedback doesn t go unheard and with that worked on you should be able to see improvements Your feedback goes a long way in helping us improve Your reply to my second tweet for the same issue,negative
,
Thank you in and india diwalicontinues letsdineout,neutral
,
RT Swiggy in 2030,neutral
,
in IND Problem with It is on one phone and is on another nos hence does not allow me to pay by Paytm because of some internal rule After questioning numerous times and both ignoring I now order only at convenience But still do not understand logic,neutral
,
No they won t but recruitment drive happened after Parent Ola decided to put in Rs 200 Cr to prop up food business Mandate was to snatch substantial business from rivals Swiggy and Zomato and call it disruption,neutral
,
problemswithFinTech I use in IND to order food at diff locations diff times Scootsy is smooth payment by any mode Uber eats is smooth payment by any mode,positive
,
We give you awesome reasons to celebrate Movember Bearded people gets to enjoy a discount of 10 Bring in your bearded people and enjoy the yummy ice creams at The Scoop Bar TheScoopBar PremiumIcecreams Movember NoShaveNovember Beard ReviewUs Swiggy Zomato AnnaNagar,positive
,
in Your customer chat support responded to each question with a gap of 5 min Which again was frustrating I don t know has the swiggy lowered its standard within a gap of 1 week If so let us know we would stop expecting better services from you,positive
,
r u pple interested in giving any sort of resolution for this I dint order frm swiggy since my tht bad experience,negative
,
in My number is 7892037616 I ordered at 5 05 PM to and received the food at 6 30 PM One Delivery got changed and finally received cold food I have ordered for replacement but I believe you would need to refund me fully for the experience alone,negative
,
I really thought Swiggy cared but disappointed with the lack of coordination and systems support from your side CustomerExperience is poor in this case,negative
,
looks like Swiggy is out of funds and needs my money to live on,positive
,
in app doesn t work on OnePlus 6T,neutral
,
Always worst experience with swiggy Decided never to use in anymore and suggest the same for everyone,negative
,
Today was my first and last order with A company which doesn t have call support or doesn t allow order cancellation within 30 seconds of order can t understand customer service Got much much better service and response from in everytime,positive
,
on 29th of October in refunded rs 124 to my account with reference number 5407554733796968403093 it s been 12 days since the refund has been initiated but I didn t received it yet,neutral
,
india in attached dominos order delivered post 30 mins Can you refund urgently,neutral
,
RT sch 2018 12 25 A feat SUSHIBOYS,neutral
,
Thanks for your quick response Hope you will fix all draw backs which I mentioned and you realised pubali you are awesome in,positive
,
RT And in and India have done it again Wrong order I m so tired of their bullshit now,negative
,
Swiggy is making money by cancelling orders Kindly provide the account no I ll transfer it now Why u are making efforts amp wasting SMS charges to inform us such rubbish things that cancellation charge would be deducted in nxt order in,positive
,
in how many Youngsters are working in your network,positive
,
in Jain Thanks I got the call finally But I made some other arrangement for today and I asked him to call me back tomorrow at 2pm Hope he will keep his promise,positive
,
Boss you are not in bangalore is it Call on the swiggy,neutral
,
in Jain I am shocked to see that even Swiggy CEO is not responding to my tweets First of all I am not able to get through to their number secondly their twitter team is promising call back but not calling back and then their,negative
,
in swiggy Happened once again Ordered item is not in restaurant Wasted my 20 minutes,negative
,
I think you and your company Swiggy does not have basic business ethics Your app does not have features to refund the customer money when you don t deliver the order and you expect to use your coupon to order another item through Swiggy Are you kidding I hate u,negative
,
in why show invalid offers in the app Refer screenshot I am unable to apply the offer which you guys are proudly advertising,positive
,
Hi your payment of Rs 177 under the order id 24 43 towards the Merchant swiggy has been successfully processed at our end dated 07 11 2018 at 01 55 PM The UTR reference number for this transaction is CI 70 gt gt,positive
,
Are you listening in We need nibbles to match our OOTDs after all TheLabelLife FallWinter Festive Winterwear Workwear,neutral
,
And in and India have done it again Wrong order I m so tired of their bullshit now,negative
,
See You guys don t even respond properly after requesting us message you guys in stop fooling people buds,neutral
,
in Yes solving this is a win win proposition for customers drivers and the company Everyone,positive
,
The most annoying and worst experience with in I have three consecutive scenarios which completely wasted my time and money So disappointed in please try to improvise your service in all aspects,negative
,
in what was the ETA of this order,neutral
,
IND Check the prices on swiggy same as the shiv sagar sakivihar restaurant menu but you have jacked up the prices by 35 Earlier sp Falooda was 105 on uber but now it is 160,neutral
,
We are sorry Manish that you had to wait this long we request you to fill the partner with us form and submit it Our relevant team will view your application and get back to you in due time Ashwathi,negative
,
RT IND in Do you,neutral
,
By the way thats the last night order from Swiggy,neutral
,
in for urgent call back Thank you,neutral
,
in Twitter team for the past one and half an hour but they are promising call back but there is no call back They want to do some background check I am not sure why as I have not applied for job with Swiggy Pls arrange,negative
,
Register on Swiggy with GS3VEF and earn Rs 100 Download on,neutral
,
in I am trying to place an order but I have some doubts and I am need to some guidance while placing my first order I tried contacting your cust care but I am not able to get through to that number I am tweeting your,neutral
,
plz stop showing me ads There is no way I m ever going to buy that crap and honestly the music in their ads is too annoying And plz don t show and in ads too often makes my hungry once in a while is okay,negative
,
IND You people are good for nothing I am still face the problem you people haven t done anything You people are worthless Two other app in and is doing wonderful jobs and I will suggest them to people,positive
,
in I am continues dropping mail to became partner with Swiggy but no response at all no one respond after multiple calls That s how startup behave when Its became little bit progressive and success They don t even bother u Very bad experience,negative
,
The Job Fair of Darrang and Udalguri has been concluded successfully today with 80 participants Swiggy and Zomato have shortlisted 7 and 15 candidates respectively while Qubeta an IT based company has shortlisted 3 candidates and Evergreen Securities has selected 12 candidates,positive
,
Never expect this from swiggy in,neutral
,
in ever ever waste service from Swiggy,negative
,
Job fair conducted on Nov 4 by Wenslink Baihata Centre where total candidates present were 72 Participant employers were big players like Swiggy Zomato BSNL Call Centre Evergreen management service and Qubeta Solution,positive
,
in why your chat support is not at all helpful who is going to help me then Worst customer service,negative
,
Hey there We are working with restaurant partners to ensure that they charge consumers the same price both online and offline that is for dine in and Swiggy orders Please share the images so that the issue can be escalated immediately Lakshmi,neutral
,
in recently ordered khoya peda from one of the listed shops in your app I received it but the peda I got is smelling very badly Order id 24831498056 Plzz take your peda back and refund the money,negative
,
in Pls call me urgenty as I need to place the order If you continue like this I will be forced to include your CEO in my tweets Thanks,negative
,
in Imran there is nothing to elaborate I am placing the order for the first time and I have some doubts which needs clarification and I need to talk to somebody to help me place the order I am not able to get through to anybody on your cust care number,positive
,
IND in Do you want to know another secret Go visit the restaurant and check the menu the price should be even lower Swiggy increases item price on its app compared to in hotel menu Happy ordering,positive
,
in poor on board process for partner restaurants no one reverts back smack of attitude seen,negative
,
in I am continues dropping mail to became partner with Swiggy but no response at all no one respond after multiple calls That s how startup behave when Its became little bit progressive and success They don t even bother u,positive
,
in height of lying behave lies,neutral
,
India in india as part of CSR why not ask your drivers to take a nohonkingchallenge nonoisepollution With more than 500K vehicles between you this can translate in atlease 2million lesser honks a day honkingaddiction,positive
,
Hey why does it take this long to add money to Amazon Pay balance that too after successful transaction I m hungry When do I order on in using my Amazon Pay balance if you are not showing it Seriously this is not done,positive
,
in do something about it and I don t like to explain what happened as it is becoming habit of in of not delivering the food habitualoffenders,positive
,
Swiggy,neutral
,
in order pomegranate juice and got carrot juice R u guys kidding me The chat team has got no resolution and lies to the top with loud mouth,positive
,
Really disappointed in What I had ordered and see what I received,negative
,
I have got chicken piece in my veg food order I ordered for Rajma Rice combo from Punjabi Flavours through Swiggy and I was served with chicken piece inside that I will reach out to consumer forum You guys have to take action on this restaurant,negative
,
in i try to pay my order via amazon pay but it say some error its been 3 days and error still same what to do now please help if possible,neutral
,
If something happens to us then in will responsible for that,positive
,
in I want to place an order through Swiggy today but I am not sure how to go about it and I have some doubts I really need to talk to somebody who can clarify things for me asap I am not able to find any contact number Thanks,negative
,
Still no response from you in,neutral
,
RT in r running illegally n r hiring people to deliver our food without any police verification n,negative
,
in you guys can enjoy my pizza the treat is on me for the worst possible customer service by you both,negative
,
Have to stay hungry again just bcz of SWIGGY After waiting for such a long time order cancelled owing to can t able to find my location Executive named Amardeep Kaur Delivery Support was not supportive at all,positive
,
Experience love at first bite at Wafflin Around Drop by to explore new flavours today You can order your favourite waffles online on Zomato and Swiggy Waffle WaffleStore Zomato Swiggy Desserts Foodies Food Restaurant LoveFood Foodgasm SweetTooth Pune,positive
,
Register on swiggy with DEL7HT and earn Rs 100 Download on,neutral
,
,neutral
,
RT kouhaku 69 NHK NHK,neutral
,
in worst food delivery platform strongly recommend to uninstall it and use another platforms like zomato and Foodpanda which are far better then swiggy,positive
,
in I got food pack and the food contains cockroaches I felt sick after eating this food I asked them regarding this but am not getting any support from them what kind of food quality and what type of service in is providing is out of my experience,negative
,
in it took almost 2 hours for the food to reach I never received a call from Swiggy i forming one item not available made me wait unnecessarily It has been a hopeless service from swiggy as well as the restaurant,negative
,
in in sends stale food Order No 24826301275 swiggysucks,negative
,
in in sends stale food Order No 24826301275 swiggysucks,negative
,
in in sends stale food Order No 24826301275 swiggysucks,negative
,
in sends stale food Order No 24826301275 swiggysucks,negative
,
RT It s ye boi Swiggy complementing your new update The launch of the app was very buggy and annoying to open packs,negative
,
Ordered lunch via in reached out to regarding missing item in the order No refund Useless customer service ScamAlert Order 24824761744,negative
,
RT Get Minimum 30 Off On All Your Orders On in Swiggy Foodoffers swiggyoffers,neutral
,
in promises lightning fast delivery They called me 47 mins after placing my order that my item isn t available This is after confirming my order Pathetic customer service is so much better,positive
,
in I am waiting,neutral
,
You didn t even delivered the food and took money from me You liars in,neutral
,
you are just pathetic Never trying again your delivery service Swiggy is anyday better,negative
,
Its a repeated poor delivery mechanism And now its getting in to a religious sentiments Such a ruthlessness can only be seen at Swiggy it seems,negative
,
one taught me love one taught me patience one taught me pain ThankYouNext IND in,positive
,
in You never delivered the food or called me you guys are ridiculous Never seen such a immature and irresponsible company ever Shameful and heinous in,negative
,
Register on Swiggy with W1FKK9 and earn Rs 100 Download on,neutral
,
Register on Swiggy with W1FKK9 and earn Rs 100 Download on,neutral
,
in This is trippy,neutral
,
I got call wherein your executive states that as a token of apology swiggy will replace the order That means you will deliver a chicken or mutton on an auspicious day and you will make the pure vegetarians religious beliefs are broken and shackled because its a swiggy delivery,negative
,
Hey While our patrons hunger is important to us we also care for their safety Every delivery partner at Swiggy goes through a background verification process as per industry standards This includes a thorough check of their identity amp criminal history Nida,neutral
,
SWIGGYSCAM SWIGGYWORST WORSTCUSTOMERSERVICE DoNotUseSwiggy in Swiggy 1st delayed the delivery 2nd delivery guy didn t picked the salads 3rd complaint to Swiggy cust care over phone was ignored 4th no1 called bck,negative
,
Hahaha lol in all are roaches from the same pipe Naam bade Darshan chote,positive
,
Haha ordered on Zomato and got delivery from Swiggy,positive
,
EditorsNote Food tech platforms in and are fighting a pitched battle for supremacy backed by top investors Naspers and Alibaba Ed Editor india,positive
,
Need to cool down Our Chocolate Hazelnut shake has got that covered Sip on now Order now on in,positive
,
Food tech platforms Swiggy and Zomato are fighting a pitched battle for supremacy backed by top investors Naspers and Alibaba Read more Food tech platforms Swiggy and Zomato are fighting a pitched battle for supremacy backed by top investors Naspers an,positive
,
in Bad experience on your coordination with restaurants ordered from CCD with delivery time of 32 minutes After 40 minutes I need to chat to check the status and informed item not available and no replacement on that items 24822159039orderid,negative
,
RT Yup in has started losing orders to due to their insistence towards Super Removing free delivery ab,positive
,
in Again bad service in Mumbai Ordered food from CCD at 12 30 with delivery time of 32 minutes Till 1 05 no updates then after chat they informed restaurant doesn t have ordered item and they can t provide different item also,negative
,
in you thugs some items were missing in my order and when i contacted customer care they asked me to accept a coupon of half the value of those orders Is this the way you provide service to your customers You are clearly thugs Never gonna order from you again,negative
,
in here are the screenshots of the same,neutral
,
Ramkumar tells me that at the order has been cancelled and the fat boy tells me that they only deliver through swiggy,neutral
,
FoodPanda Offer Code FLAT3 Total Max Discount 50 Minimum order 120 RT if it s working TuesdayThoughts TuesdayMotivation foodpanda Zomato swiggy UberEATS food,neutral
,
for missing item as he has already put in their system Cust care saying they cnt refund the amount and gave me me some coupon of Rs 50 When asking for full refund the customer care didnt budge So Swiggy wants us to pay for the food we didnt get Slow claps What a scam,positive
,
in order ID 24822615325 i ordered my food from HR 51 which is prepaid and after 15 mins i got a notification saying order cancelled without any acknowledgement i called for the same you people say we cant give you food as well and money will be sent by 2 3 days,neutral
,
in it s time for swiggy to plan to deliver between cities Hyd Biryani at Kolkata bangali Hilsa paturi at Hyd May b Odisha Pahala Rasgola at Bangalore oneindia,neutral
,
in Awesome service Stay awesome Frm delhi kucch coupons bhi nikala kro p,positive
,
It was long back Maybe 6 months nothing offensive After that I always include a 20 Rs tip for Zomato delivery boys and avoid Swiggy As the delivery boys are too posh for me He had a point Climbing 4 floors is painful,negative
,
in I placed an order for diwali sweets Out of my order one of the item was missing As the order was cash on delivery I was asked to pay the full amount including missing item price as well The Del executive told that refund will be made 1 2,negative
,
swiggy in,neutral
,
RT in Bhubaneswar the wait is over Go ahead Swiggy in right now,positive
,
hey swiggy what you guys are doing 1stly you are sending bad quality smelling food when I want help your customer services just sending feedback what will I do with bloody feedback i have 315 rup for sweet and now you are giving me me now,negative
,
A swiggy delivery boy already talked down to me as there is no lift in my building and he stays in a tower in BKC with high speed lifts,positive
,
How many times should i face this issue again and again with in While ordering the restaurant says Your food will be delivered with in 25 mins And now the delivery agent roams around entire mumbai Without delivering my food Ive even contacted the chat support,positive
,
Check your order next time or order from an only vegetarian place Don t even know how to react to this in No ownership and empty words,negative
,
in Which city has the best average time for arrival of food Help me decide on picking my next city to live in,positive
,
IND Arey swiggy karte Unko Taxi chalane do bhai Acha aur haan juv 1 utd 2,neutral
,
A perfect dine with the Monks Visit our nearest outlet today Order from in from bestwoksintown woks panasian food delicacies deliciousfood foodoutlet,positive
,
RT Do not use in They won t refund your money I requested many times for my order that placed on Tuesday but after pl,positive
,
Most funniest listing of food in in Not sure what the restaurant will serve as Kottu PuriyalA AviyalA,positive
,
in IND I HAVE RECEIVED MY ORDER NO 1474594726 IN THE WORST CONDITION FROM WorstZomato SEE ATTACHED PICS,negative
,
in IND I HAVE RECEIVED MY ORDER NO 1474594726 IN THE WORST CONDITION FROM WorstZomato SEE ATTACHED PICS,negative
,
I have ordered from in and the order was delivered within half an hour I am full now please cancel my order IND,positive
,
Swiggy shows the value of giving back Diwali AdDiwali in,neutral
,
I Know now their will be always technical problem in food panda while taking order also u guys have problem n while giving back d customer money also u have problem by this u market Goodwill is going down do u ppl aware of it see how zomato n swiggy working n adopt d same policy,positive
,
I stan Swiggy man,neutral
,
swiggy customer food cheats delivery consumeradda,neutral
,
Giving away some coupons to engage users is straightforward and appreciated However in happens to place two coupons that negate each other based on what you take Absurd,negative
,
RT IND cheating on restaurant prices too Shiv sagar amp in sells sp falooda for 120 amp uber wants 160 This,positive
,
in There should be some authority who monitor regulate control food chains with just kitchens,neutral
,
Hello in this is what I ordered and this is what came Tell me if this looks like a Veggie delite,neutral
,
My order has not been delivered however status showing delivered Please help me in,neutral
,
Sigh Ordered a vegetarian sub from in Got an Italian BMT sub instead This is completely unacceptable,positive
,
in I ordered food and I received food in such a way that it not eatable I called to support and they said they can t do anything about this This is how you serve to your customers,neutral
,
RT vizag youth drink and drive lo dorikithe vallaki punishment ga hyd traffic lo 2 days swiggy delivery man laga cheyyamani,neutral
,
RT Enjoy the flavorful Mexican and Italian delicacies at Hyderabad Spice Order through our delivery partners Swiggy Zoma,positive
,
Day 2 issues with swiggy app remains Now the order is changed after placing the order As usual the customer service says can t help You can cancel but refund coupon can t be reinstated,negative
,
sr,neutral
,
Damn that was a sweet response Alright in gets all my dessert orders,positive
,
Do not use in They won t refund your money I requested many times for my order that placed on Tuesday but after placing my order their person told me that shop is closed and they still didn t refund my money,positive
,
Hi i am Ananth from Vizag The Event Planner We started a start up and did 1 event recently for SWIGGY at CONCENTRIX Vizag Would like to talk to you to do the events for the too Help me out with contact no of the represent person for the Vizag Thanks,positive
,
in Pathetic this is,negative
,
You send me uncooked food Like actually raw eggs Not runny RAW eggs You send it with a horrible delivery guy Your customer service representative is worse than a bot would be What The Fuck in Anyone had any idea how you sue someone in consumercourt,negative
,
vizag youth drink and drive lo dorikithe vallaki punishment ga hyd traffic lo 2 days swiggy delivery man laga cheyyamani cheppali,neutral
,
saw this bike rider near Infinity Mall Lokhandwala signal with highly unidentifiable Number plate in,positive
,
Diwali fever used up their stick tapes for lighting and sweet box packing and now in at rescue,positive
,
in worst app to order food Happening second time with me after ordering food they call after 1hour and tell cancel order Please don t order anything from swiggy,negative
,
Enjoy the flavorful Mexican and Italian delicacies at Hyderabad Spice Order through our delivery partners Swiggy Zomato Food Panda or Dineout food yummy foodies lunch dinner photooftheday Hyderabad combos fulfilling parties Mexican Italianfood localfood,positive
,
in I am apalled by the delivery agents behaviour and audacity to ask me to come and pick up the delivery He was unable to find the address to which swiggy has delivered before Get well mannered delivery agents hired rather than these pathetic people,negative
,
RR Swiggy and zomato Foodpanda has good offers but deliveries gets cancelled moat of the times Uber eats is good in certain areas with cheap deals,positive
,
Yup in has started losing orders to due to their insistence towards Super Removing free delivery above 99 in almost all of not all restaurants Did just stop caring TurfWars,positive
,
I paid with your app in Swiggy The amount I paid for was Rs 80 but my card shows a deduction of Rs 82 36 instead Paid using Mobikwik Visa Exclusive card The hell Do you guys have an extra charge,neutral
,
It is been hour now Will skip swiggy next time onwards Can not trust their delivery time,neutral
,
in check the details,neutral
,
Get Minimum 30 Off On All Your Orders On in Swiggy Foodoffers swiggyoffers,neutral
,
the Hammer Swiggy Swooty 0ero is coming for that booty,neutral
,
in Very Bad Swiggy sends me too much spam messages Even though i called several time it constantly sends Very bad,negative
,
RT Welcome to goa in Let s make tasty memories easier,positive
,
in This is not a way to treat the customer you people even not co operative She is very harsh and like a robot she didn t having much knowledge regarding the empathy Kindly check and take necessary action else wise you will securely loss one potential customer,positive
,
Rhythm N Blues Wishes You Happy Bhau Bij Address 1st Floor Luthara Chambers Near RYK College Above Manyavar Showroom College Road Krishi Nagar Nashik Order Us On UBER EATS ZOMATO SWIGGY Call Us 0253 2311952 Home Delivery Also Available,positive
,
in Food is ordered on 10 00 am Hotel delivery time was 30 minutes After 40 minutes your rider is no where near radius of hotel What is going on swiggy Have u taken customers for granted,positive
,
Still in bed though I am now getting hungry Should I just Swiggy breakfast I am wondering,neutral
,
Your service is worsening by the day in Ordered chai an hour back Still not delivered Unbelievable Swiggy doesn t care Showed 20 mins when I ordered,negative
,
in Wow what a start of the day customer service representative calls and ask she will cancel the order after a 5min conversation without confirmation she cancelled the order and disconnect the call Is the service you are providing to the customer Od no 24813167265,positive
,
Bakers Craft Wishes You Happy Bhau Bij Order Us On UBER EATS ZOMATO SWIGGY Contact Us 9326165649 9325380424 Our Branches Trimurti Chowk Mumbai Naka Indira Nagar Rane Nagar Visit us Review us,positive
,
Hi I didn t get my order delivered till now It s showing as my order is delivered in,neutral
,
You will get the same quality of food from uber eats too Also uber eats don t even have good restaurants KFC is not there in uber eats You can imagine their class If you want to eat good you need zomato or swiggy And need to spent decent amount,positive
,
RT in IND are u listening Can u please just provide basic safety guidelines to ur employees ht,neutral
,
IND cheating on restaurant prices too Shiv sagar amp in sells sp falooda for 120 amp uber wants 160 This is CHEATING n betraying people if India Cheaters It should be UberCheats,positive
,
tmm 7x,neutral
,
